date,trades,total_volume,avg_leverage,avg_pnl,median_pnl,win_rate,classification
2024-03-09,117,658178.765539,1.0,85.03847541880343,25.01825,0.8290598290598291,Extreme Greed
2024-03-10,42,219973.8624,1.0,59.117314285714286,2.505,0.6904761904761905,Extreme Greed
2024-03-11,42,176519.42601,1.0,85.43284511904761,18.72521,0.9285714285714286,Extreme Greed
2024-03-12,8,103040.842,1.0,379.89575,16.76285,0.875,Extreme Greed
2024-03-13,7,6000.8022599999995,1.0,0.0,0.0,0.0,Extreme Greed
2024-03-14,18,205933.17923,1.0,192.5481017777778,50.144227,0.8888888888888888,Extreme Greed
2024-03-15,62,351894.414518,1.0,100.58892985483871,24.1152,0.6612903225806451,Extreme Greed
2024-03-16,8,37223.66167,1.0,28.57248,0.0,0.125,Extreme Greed
2024-03-17,23,99506.94409,1.0,21.882345869565217,0.0,0.43478260869565216,Extreme Greed
2024-03-18,19,90458.06317,1.0,76.68198421052631,0.0,0.3157894736842105,Extreme Greed
2024-03-19,24,219884.87557,1.0,27.86658220833333,0.0,0.20833333333333334,Extreme Greed
2024-03-20,69,215705.92522,1.0,93.08890723188406,14.004,0.8695652173913043,Greed
2024-03-21,28,117895.56306,1.0,83.41100267857142,27.4342,0.8214285714285714,Extreme Greed
2024-03-24,19,92592.22297,1.0,68.26413036842105,35.104212,0.7894736842105263,Greed
2024-03-25,7,57116.32732,1.0,186.13091828571427,149.807117,0.8571428571428571,Extreme Greed
2024-03-26,118,198565.2084,1.0,27.253445703389833,18.078525,0.9322033898305084,Extreme Greed
2024-03-27,38,99864.78379,1.0,3.9581878947368416,0.0,0.3157894736842105,Extreme Greed
2024-03-28,13,35323.735136,1.0,17.527000615384615,12.233936,0.6923076923076923,Extreme Greed
2024-03-29,15,86914.38673,1.0,58.873160266666666,0.0,0.4,Extreme Greed
2024-03-30,45,101103.90474,1.0,24.45722533333333,10.11075,0.9777777777777777,Extreme Greed
2024-03-31,13,39912.93963000001,1.0,70.21431884615384,16.0695,0.7692307692307693,Extreme Greed
2024-04-01,77,339470.500845,1.0,32.57095332467532,0.54675,0.5454545454545454,Extreme Greed
2024-04-02,41,239664.47561000002,1.0,21.555141756097562,0.0,0.2926829268292683,Extreme Greed
2024-04-03,4,16887.5616,1.0,31.6971,0.0,0.25,Greed
2024-04-04,32,95987.71009,1.0,0.0,0.0,0.0,Greed
2024-04-05,100,503791.831726,1.0,107.06484306,8.978760000000001,0.9,Extreme Greed
2024-04-06,16,68223.66744,1.0,14.770945874999999,0.0,0.25,Extreme Greed
2024-04-07,23,49988.1611,1.0,0.0,0.0,0.0,Extreme Greed
2024-04-08,30,211940.64508,1.0,40.614223333333335,0.0,0.03333333333333333,Extreme Greed
2024-04-09,3,57063.83727,1.0,0.0,0.0,0.0,Extreme Greed
2024-04-10,41,351735.94638,1.0,127.01081497560976,32.322,0.8780487804878049,Extreme Greed
2024-04-11,16,76400.96631999999,1.0,24.35894775,0.0,0.125,Extreme Greed
2024-04-12,129,442088.595023,1.0,-4.594153790697676,4.032548,0.5503875968992248,Extreme Greed
2024-04-13,89,486411.283626,1.0,74.3983343258427,15.90732,0.6853932584269663,Greed
2024-04-14,107,659162.167688,1.0,-337.4206777570094,0.0,0.308411214953271,Greed
2024-04-15,41,291111.17707,1.0,92.05094439024391,14.65548,0.8536585365853658,Greed
2024-04-16,47,181907.20026,1.0,52.504302574468085,17.7287,0.9148936170212766,Greed
2024-04-17,14,97562.9796,1.0,174.39059999999998,48.21955,0.9285714285714286,Greed
2024-04-19,35,337257.91968,1.0,55.61272748571429,19.918472,0.7714285714285715,Greed
2024-04-20,22,60733.23488,1.0,0.0,0.0,0.0,Greed
2024-04-22,9,47993.62418,1.0,0.0,0.0,0.0,Greed
2024-04-23,66,233054.85759,1.0,16.962669636363636,0.07805000000000001,0.5303030303030303,Greed
2024-04-24,20,141275.21555,1.0,13.95929535,0.0,0.3,Greed
2024-04-25,74,120240.99586000001,1.0,0.0,0.0,0.0,Greed
2024-04-26,3,4988.28521,1.0,0.0,0.0,0.0,Greed
2024-04-27,27,154264.46749,1.0,158.57363477777778,61.458,0.7037037037037037,Greed
2024-04-28,58,43985.63142,1.0,0.0,0.0,0.0,Greed
2024-04-29,45,108699.00198,1.0,11.709640799999999,0.0,0.37777777777777777,Greed
2024-04-30,24,125018.74591,1.0,0.0,0.0,0.0,Greed
2024-05-01,14,87025.4638,1.0,0.0,0.0,0.0,Neutral
2024-05-03,36,282682.63886,1.0,147.3893623611111,0.0,0.4722222222222222,Neutral
2024-05-04,9,58998.751001000004,1.0,0.0,0.0,0.0,Greed
2024-05-05,6,24068.344540000002,1.0,0.15266666666666667,0.0,0.16666666666666666,Greed
2024-05-06,9,206016.42648,1.0,107.62115333333333,0.0,0.4444444444444444,Greed
2024-05-07,18,108717.587358,1.0,49.08542738888889,9.50184,0.5,Greed
2024-05-08,13,65973.57249,1.0,0.12044307692307693,0.0,0.07692307692307693,Greed
2024-05-09,28,221966.12848999997,1.0,40.985566285714285,0.0,0.39285714285714285,Greed
2024-05-10,22,156881.99536,1.0,95.53371340909092,0.0,0.2727272727272727,Greed
2024-05-11,9,63248.936779999996,1.0,27.956082444444444,6.001646,1.0,Neutral
2024-05-12,23,55179.539282,1.0,0.0,0.0,0.0,Greed
2024-05-13,28,193118.89158999998,1.0,76.31620925,0.0,0.35714285714285715,Greed
2024-05-14,23,145853.40901,1.0,50.02275239130436,0.0,0.17391304347826086,Greed
2024-05-15,36,234922.58374,1.0,26.360293944444447,0.0,0.4722222222222222,Greed
2024-05-16,27,162620.95312999998,1.0,7.94777037037037,0.0,0.18518518518518517,Greed
2024-05-18,25,126303.14745,1.0,140.89578644000002,6.828,0.64,Greed
2024-05-19,8,29998.084300000002,1.0,0.0,0.0,0.0,Greed
2024-05-20,10,38124.759653,1.0,-7.4818442,0.0,0.0,Greed
2024-05-21,125,1100948.58418,1.0,58.31518057599999,0.0,0.112,Extreme Greed
2024-05-22,6,44995.28661,1.0,0.0,0.0,0.0,Extreme Greed
2024-05-23,325,401850.593567,1.0,1.2718379353846154,0.0,0.4461538461538462,Extreme Greed
2024-05-24,2,50811.902200000004,1.0,410.974639,410.974639,1.0,Greed
2024-05-25,16,29991.122934000003,1.0,0.8828774374999999,0.0,0.3125,Extreme Greed
2024-05-26,16,53976.68183,1.0,48.66774375,0.0,0.25,Extreme Greed
2024-05-27,251,151115.724461,1.0,4.499425776892431,0.0,0.35856573705179284,Greed
2024-05-29,164,84268.709095,1.0,1.6938533719512194,0.0,0.4146341463414634,Greed
2024-05-30,7,2838.085376,1.0,2.9930618571428576,1.617104,0.7142857142857143,Greed
2024-05-31,13,3636.149459,1.0,1.9506246153846154,0.0,0.3076923076923077,Greed
2024-06-01,25,12834.623744,1.0,3.66041676,0.0,0.36,Greed
2024-06-02,93,29464.546476,1.0,2.074268247311828,0.0,0.3655913978494624,Greed
2024-06-03,70,21466.868433,1.0,8.040117257142859,4.63499,0.6285714285714286,Greed
2024-06-04,53,24243.41788,1.0,0.9851214716981133,0.0,0.4716981132075472,Greed
2024-06-05,54,25350.75432,1.0,1.038064925925926,0.0,0.2962962962962963,Extreme Greed
2024-06-06,234,137557.83376,1.0,1.1716802863247862,0.0,0.42735042735042733,Extreme Greed
2024-06-07,440,1098588.8932400001,1.0,20.23288049090909,0.0,0.4,Extreme Greed
2024-06-08,29,97351.86465,1.0,4.453063413793104,0.0,0.27586206896551724,Greed
2024-06-09,17,22410.216839999997,1.0,0.0,0.0,0.0,Extreme Greed
2024-06-10,53,46587.90546,1.0,0.589939716981132,0.0,0.33962264150943394,Greed
2024-06-11,123,373279.909833,1.0,35.12708789430894,0.0,0.13821138211382114,Greed
2024-06-12,254,193407.9471,1.0,-86.16744682283463,0.0,0.08267716535433071,Greed
2024-06-13,79,132577.23353,1.0,83.95895082278481,0.0,0.24050632911392406,Greed
2024-06-14,31,139868.6321,1.0,330.9223422258064,0.0,0.4838709677419355,Greed
2024-06-15,78,718350.23447,1.0,43.20459417948718,0.0,0.48717948717948717,Greed
2024-06-16,11,25235.095559999998,1.0,0.0,0.0,0.0,Greed
2024-06-17,38,368380.12568,1.0,278.9342730263158,144.121501,0.6578947368421053,Greed
2024-06-18,25,263314.82219000004,1.0,11.3030544,0.0,0.16,Greed
2024-06-19,61,417071.12466,1.0,80.12552367213115,0.399945,0.5081967213114754,Greed
2024-06-20,39,207990.784464,1.0,1473.8065647692308,0.0,0.20512820512820512,Greed
2024-06-21,80,176264.47105999998,1.0,9.66947755,0.0,0.0375,Greed
2024-06-22,24,169594.28022,1.0,31.536523541666668,0.0,0.3333333333333333,Neutral
2024-06-23,5,1792.12,1.0,0.0,0.0,0.0,Greed
2024-06-24,31,403002.78763000004,1.0,0.0,0.0,0.0,Neutral
2024-06-25,49,103099.07311,1.0,99.3745531632653,0.0,0.22448979591836735,Fear
2024-06-26,72,365190.66183,1.0,58.30183586111111,0.0,0.2916666666666667,Neutral
2024-06-27,30,130486.9624,1.0,0.0,0.0,0.0,Fear
2024-06-29,75,280095.11999100004,1.0,82.0043486,0.0,0.32,Fear
2024-06-30,14,30520.698599999996,1.0,0.0,0.0,0.0,Neutral
2024-07-01,64,362670.14177832,1.0,79.1537391875,0.0,0.40625,Neutral
2024-07-02,18,33347.468420000005,1.0,134.514062,10.35,0.7222222222222222,Neutral
2024-07-03,18,179600.65518,1.0,62.132626888888886,0.0,0.2222222222222222,Neutral
2024-07-04,25,430567.99370999995,1.0,0.0,0.0,0.0,Fear
2024-07-05,32,272289.87738,1.0,0.0,0.0,0.0,Fear
2024-07-06,24,2490.18429332,1.0,4.53634075,0.0,0.2916666666666667,Fear
2024-07-07,10,498.75,1.0,6.1428942,4.9143155,1.0,Fear
2024-07-08,1,497.64,1.0,0.0,0.0,0.0,Fear
2024-07-09,15,2736.4455,1.0,43.265627466666665,37.164306,1.0,Fear
2024-07-10,56,687900.18475,1.0,213.88812333928573,59.449220999999994,0.6785714285714286,Fear
2024-07-11,19,169887.01205999998,1.0,98.77958326315789,0.0,0.47368421052631576,Fear
2024-07-12,19,89582.96714000001,1.0,74.33235021052631,0.0,0.47368421052631576,Fear
2024-07-13,17,139189.19196,1.0,171.38928452941175,105.890838,1.0,Fear
2024-07-14,7,84001.12074,1.0,0.0,0.0,0.0,Fear
2024-07-15,26,198344.85125,1.0,-0.038461538461538464,0.0,0.0,Neutral
2024-07-16,22,144000.54916,1.0,0.0,0.0,0.0,Greed
2024-07-17,351,626005.51014,1.0,5.297064037037037,0.0,0.4131054131054131,Greed
2024-07-18,60,649704.82814,1.0,63.398071849999994,19.3456475,0.8,Greed
2024-07-19,23,150269.43056,1.0,93.73439626086956,12.29371,0.5217391304347826,Greed
2024-07-20,266,244362.21072,1.0,8.643494609022557,0.0,0.12406015037593984,Greed
2024-07-21,448,234307.40842,1.0,-6.608743051339286,0.0,0.046875,Greed
2024-07-22,154,304213.71142,1.0,9.851427766233765,-1.8459855,0.14285714285714285,Greed
2024-07-23,370,358526.5282,1.0,242.9467627189189,38.355177,0.8891891891891892,Greed
2024-07-24,90,69207.92880726614,1.0,6.9506831,0.0,0.2,Greed
2024-07-25,78,528555.3094460242,1.0,11.753054615384617,0.0,0.1282051282051282,Greed
2024-07-26,152,548587.650090869,1.0,18.200744164473683,0.0,0.40131578947368424,Greed
2024-07-27,57,905199.782580988,1.0,112.2916430877193,41.72143,0.7368421052631579,Greed
2024-07-28,16,43254.660500000005,1.0,36.706189375,36.338475,0.75,Greed
2024-07-29,39,327199.14641000004,1.0,8.482165487179486,0.0,0.41025641025641024,Greed
2024-07-30,6,36006.47697,1.0,0.0,0.0,0.0,Greed
2024-07-31,43,84506.534086,1.0,17.806764744186047,0.0,0.32558139534883723,Greed
2024-08-01,57,227774.51260871076,1.0,2.9312283684210527,0.0,0.07017543859649122,Neutral
2024-08-02,63,396320.3565008986,1.0,12.418542714285714,0.0,0.2698412698412698,Greed
2024-08-03,37,290532.88809492247,1.0,12.545667567567568,0.0,0.02702702702702703,Fear
2024-08-04,127,1207744.076719446,1.0,-965.9212667952756,0.0,0.023622047244094488,Fear
2024-08-05,80,420495.37342,1.0,-162.6708146125,0.0,0.4125,Fear
2024-08-06,107,61478.393769969996,1.0,2.4982995140186914,0.0,0.12149532710280374,Extreme Fear
2024-08-07,33,2492.769600670129,1.0,5.720886515151515,0.0,0.30303030303030304,Fear
2024-08-08,9,16299.355026344874,1.0,-4.5235796666666666,0.0,0.0,Extreme Fear
2024-08-09,144,503204.82161845063,1.0,125.56993941666666,0.0,0.2986111111111111,Neutral
2024-08-10,88,11339.27659695112,1.0,0.0,0.0,0.0,Fear
2024-08-11,24,44230.218423,1.0,35.32402583333334,0.0,0.16666666666666666,Fear
2024-08-12,48,54167.3325293208,1.0,17.88896875,0.0,0.125,Fear
2024-08-13,23,20797.882690046135,1.0,9.220913913043479,0.0,0.34782608695652173,Fear
2024-08-14,25,66710.01885611855,1.0,86.75606052,0.0,0.2,Fear
2024-08-15,12,1522.367833,1.0,0.0,0.0,0.0,Fear
2024-08-16,35,166382.806193,1.0,23.578015542857145,0.0,0.08571428571428572,Fear
2024-08-17,30,30248.943302,1.0,-9.609437100000001,0.0,0.0,Fear
2024-08-18,15,62804.47477449648,1.0,20.480125866666665,8.270808,0.8,Fear
2024-08-19,8,100315.03385,1.0,42.462447874999995,14.0197665,0.625,Fear
2024-08-20,12,49914.79692,1.0,16.050237,0.0,0.08333333333333333,Fear
2024-08-21,145,104990.427218,1.0,4.525523620689655,0.0,0.3724137931034483,Fear
2024-08-23,10,63509.55795,1.0,100.53052699999999,0.0,0.3,Fear
2024-08-24,7,34999.670079999996,1.0,0.0,0.0,0.0,Greed
2024-08-25,17,21950.275498,1.0,0.0,0.0,0.0,Neutral
2024-08-26,6,92611.27523,1.0,38.539486333333336,0.0,0.3333333333333333,Greed
2024-08-27,50,70250.16057617421,1.0,0.0,0.0,0.0,Neutral
2024-08-28,9,71160.08737,1.0,148.15107166666667,0.0,0.2222222222222222,Fear
2024-08-29,1,9995.8488,1.0,0.0,0.0,0.0,Fear
2024-08-30,6,37233.242888535875,1.0,42.744,0.0,0.16666666666666666,Fear
2024-08-31,34,107507.43109782883,1.0,0.3200823823529412,0.0,0.35294117647058826,Fear
2024-09-01,12,12359.663834683,1.0,11.452757750000002,0.0,0.4166666666666667,Fear
2024-09-02,2,30000.424769999998,1.0,0.0,0.0,0.0,Fear
2024-09-04,34,131480.94938499999,1.0,31.346621529411763,0.0,0.14705882352941177,Fear
2024-09-05,1,0.8427951946369999,1.0,0.0,0.0,0.0,Fear
